Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Germany,DEU,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Imports of goods and services,1.38E+12,1.71E+12,1.65E+12
Germany,DEU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Imports of goods and services,1.63E+12,1.80E+12,1.78E+12
Germany,DEU,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"Imports of goods, services and primary income",1.77E+12,1.98E+12,2.06E+12
Germany,DEU,Interest payments (% of expense),GC.XPN.INTP.ZS,Interest payments,0.865111732,1.341976444,..
Germany,DEU,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Interest payments,0.976158361,1.476652696,..
Germany,DEU,Interest payments (current LCU),GC.XPN.INTP.CN,Interest payments,10407000000,16690000000,..
Germany,DEU,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Interest rate spread,..,..,..
Germany,DEU,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"International tourism, expenditures",..,..,..
Germany,DEU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,"International tourism, expenditures",..,..,..
Germany,DEU,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items",..,..,..
Germany,DEU,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,"International tourism, expenditures for travel items",..,..,..
Germany,DEU,Other expense (% of expense),GC.XPN.OTHR.ZS,Other expense,5.50880491,7.925000826,..
Germany,DEU,Other expense (current LCU),GC.XPN.OTHR.CN,Other expense,66269050071,98562284275,..
Germany,DEU,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure,12.16129494,..,..
Germany,DEU,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita,805.8079241,..,..
Germany,DEU,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP",916.2058495,899.6585593,..
China,CHN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,GDP,1.59E+13,1.63E+13,1.72E+13
China,CHN,GDP (constant LCU),NY.GDP.MKTP.KN,GDP,1.10E+14,1.13E+14,1.19E+14
China,CHN,GDP (current LCU),NY.GDP.MKTP.CN,GDP,1.15E+14,1.20E+14,1.26E+14
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,GDP,1.78E+13,1.79E+13,1.78E+13
China,CHN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,GDP deflator,104.5523266,106.4590234,105.8390127
China,CHN,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,GDP deflator: linked series,104.5523266,106.4590234,105.8390127
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,GDP growth,8.448469417,2.95066993,5.249557864
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,GDP per capita,11223.25535,11555.93024,12175.19611
China,CHN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,GDP per capita,77827.03421,80133.94957,84428.21403
China,CHN,GDP per capita (current LCU),NY.GDP.PCAP.CN,GDP per capita,81369.97498,85309.82014,89357.98815
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,GDP per capita,12617.5051,12662.58267,12614.06174
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,GDP per capita growth,8.351719954,2.964156837,5.358857863
China,CHN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"GDP per capita, PPP",20406.72966,21011.61713,22137.59983
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"GDP per capita, PPP",20406.72966,22509.63635,24569.28651
China,CHN,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,GDP per person employed,38653.6718,40548.92627,42291.69881
China,CHN,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use,..,..,..
China,CHN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,GDP per unit of energy use,..,..,..
